Russian Federation;142467651
Germany;82652256
France;64641279
United Kingdom;63489234
Italy;61070224
Spain;47066402
Ukraine;44941303
Poland;38220543
Romania;21640168
Netherlands;16802463
Belgium;11144420
Greece;11128404
Czech Republic;10740468
Portugal;10610304
Hungary;9933173
Sweden;9631261
Serbia;9468378
Belarus;9307609
Austria;8526429
Switzerland;8157896
Bulgaria;7167998
Denmark;5640184
Finland;5443497
Slovakia;5454154
Norway;5091924
Ireland;4677340
Croatia;4272044
Bosnia and Herzegovina;3824746
Republic of Moldova;3461380
Albania;3185413
Lithuania;3008287
TFYR Macedonia;2108434
Slovenia;2075592
Latvia;2041111
Estonia;1283771
Montenegro;621542
Luxembourg;536761
Malta;430146
Iceland;333135
Channel Islands;162778
Isle of Man;86475
Andorra;80153
Faeroe Islands;4946
Monaco;38066
Liechtenstein;37194
San Marino;31637
Gibraltar;29335
Holy See;799
